commune,code_insee,localisation,comp_loc,nom_velib,id_velib,nb_borne,etat,id,commune_min,groupement,geo_point_2d,latitude,longitude
SEVRES,92072,PARVIS CHARLES DE GAULLE,,Hôtel de Ville,23102.0,32.0,En service,VELIB34,Sèvres,CHA/MEU/SEV/VDA,"['48.824313735001255', '2.213020907380812']",48.824313735001255,2.213020907380812
SEVRES,92072,GRANDE RUE,En face du 152,Grande Rue - Europe,23101.0,25.0,En service,VELIB35,Sèvres,CHA/MEU/SEV/VDA,"['48.821806021976094', '2.2063111077167568']",48.821806021976094,2.2063111077167568
BOULOGNE-BILLANCOURT,92012,74  AVENUE VICTOR HUGO,,Victor Hugo - Galliéni,21008.0,34.0,En service,VELIB63,Boulogne-Billancourt,BB/ILM/VAN,"['48.837984139332015', '2.246041184402906']",48.837984139332015,2.246041184402906
VANVES,92075,AVENUE VICTOR BASCH,Angle avenue Jacques Jézéquel (côté opposé au bus),Gare SNCF Vanves-Malakoff,21702.0,51.0,En service,VELIB64,Vanves,BB/ILM/VAN,"['48.818897054792615', '2.291959395968397']",48.818897054792615,2.291959395968397
BOULOGNE-BILLANCOURT,92012,186  RUE DE BILLANCOURT,,Billancourt - Général Leclerc,21024.0,22.0,En service,VELIB57,Boulogne-Billancourt,BB/ILM/VAN,"['48.83231988216533', '2.238003023681058']",48.83231988216533,2.238003023681058
BOULOGNE-BILLANCOURT,92012,153  RUE DE SILLY,,Silly - Louis Blériot,21011.0,23.0,En service,VELIB59,Boulogne-Billancourt,BB/ILM/VAN,"['48.83238733954636', '2.233900115701736']",48.83238733954636,2.233900115701736
BOULOGNE-BILLANCOURT,92012,11  RUE DU TRANSVAAL,,Transvaal - Charles de Gaulle,21001.0,27.0,En service,VELIB15,Boulogne-Billancourt,BB/ILM/VAN,"['48.84830717225554', '2.2374957742259904']",48.84830717225554,2.2374957742259904
BOULOGNE-BILLANCOURT,92012,1  RUE DU FIEF,,Fief - République,21027.0,25.0,En service,VELIB68,Boulogne-Billancourt,BB/ILM/VAN,"['48.83159261377694', '2.255826930177019']",48.83159261377694,2.255826930177019
BOULOGNE-BILLANCOURT,92012,19-21  RUE DE SEVRES,,Sèvres-Gallieni,21032.0,27.0,En service,VELIB70,Boulogne-Billancourt,BB/ILM/VAN,"['48.837577266442885', '2.2280904530247647']",48.837577266442885,2.2280904530247647
BOULOGNE-BILLANCOURT,92012,66  RUE DE SEVRES,,Sèvres - Maréchal Juin,21033.0,18.0,En service,VELIB77,Boulogne-Billancourt,BB/ILM/VAN,"['48.832490333029455', '2.2293479053293086']",48.832490333029455,2.2293479053293086
VANVES,92075,RUE LARMEROUX,Devant la piscine,Larmeroux - Baudelaire,21701.0,30.0,En service,VELIB4,Vanves,BB/ILM/VAN,"['48.816929139273945', '2.2809484973439567']",48.816929139273945,2.2809484973439567
VANVES,92075,72  RUE JEAN BLEUZEN,Au niveau de l'esplanade devant  - station double,Jean Bleuzen - Square du 11 Novembre,21706.0,49.0,En service,VELIB19,Vanves,BB/ILM/VAN,"['48.82329298561997', '2.296517891519679']",48.82329298561997,2.296517891519679
ISSY-LES-MOULINEAUX,92040,AVENUE VICTOR CRESSON,Carrefour Weiden / côté parc,Victor Cresson - Telles de la Poterie,21307.0,31.0,En service,VELIB24,Issy-les-Moulineaux,BB/ILM/VAN,"['48.82275208359928', '2.26875068357307']",48.82275208359928,2.26875068357307
ISSY-LES-MOULINEAUX,92040,AVENUE VICTOR CRESSON,Angle rue Danton / station double,Mairie d'Issy,21309.0,41.0,En service,VELIB26,Issy-les-Moulineaux,BB/ILM/VAN,"['48.823803390561366', '2.2724213556868684']",48.823803390561366,2.2724213556868684
MEUDON,92048,2  RUE MAZKERET BATIA,,Quartier Trivaux,21956.0,,En projet,VELIB74,Meudon,CHA/MEU/SEV/VDA,"['48.78291165964166', '2.228468228796411']",48.78291165964166,2.228468228796411
ISSY-LES-MOULINEAUX,92040,41  PROMENADE DU VERGER,,Verger - Colonel Guichard,21328.0,30.0,En service,VELIB80,Issy-les-Moulineaux,BB/ILM/VAN,"['48.816471470232905', '2.2667921589125934']",48.816471470232905,2.2667921589125934
ISSY-LES-MOULINEAUX,92040,PLACE LEON BLUM,,Place Léon Blum,21304.0,20.0,En projet,VELIB28,Issy-les-Moulineaux,BB/ILM/VAN,"['48.82102625248008', '2.261110497763574']",48.82102625248008,2.261110497763574
ISSY-LES-MOULINEAUX,92040,1  AVENUE JEAN BOUIN,,Avenue Jean Bouin - Cité des Sports,21327.0,31.0,En service,VELIB82,Issy-les-Moulineaux,BB/ILM/VAN,"['48.82490684569681', '2.2651798746937817']",48.82490684569681,2.2651798746937817
