Feature,Importance
counter_name_Pont Charles De Gaulle SO-NE,0.0003173677110491335
cod_tend_0,0.0003145857326422372
site_name_Pont Charles De Gaulle,0.00030926467283012724
etat_sol_2.0,0.0003086262166932882
counter_technical_id_Y2H19070382,0.0003034291639495629
counter_technical_id_Y2H19070375,0.00029725107372814653
month_3,0.00029681700579773214
counter_technical_id_Y2H19070380,0.00029502975652069183
ssfrai,0.0002906484716543108
site_name_38 rue Turbigo,0.00028672913114400115
counter_name_39 quai François Mauriac SE-NO,0.00028515843850232867
cod_tend_7,0.000281525396371477
counter_name_Face 104 rue d'Aubervilliers N-S,0.0002809902269440034
month_8,0.0002780403477444375
counter_name_Totem 73 boulevard de Sébastopol S-N,0.0002754762263932543
counter_name_Pont de Bercy SO-NE,0.0002747917240748251
counter_name_Quai d'Orsay O-E,0.00027086502667574247
counter_name_27 quai de la Tournelle NO-SE,0.0002669895998500268
counter_name_38 rue Turbigo NE-SO,0.00025861698518131416
cod_tend_2,0.0002544320093293423
counter_name_Face au 8 avenue de la porte de Charenton SE-NO,0.0002498380701594145
counter_name_Totem 73 boulevard de Sébastopol N-S,0.000248009579016767
hour_11,0.00024375304461994867
counter_name_39 quai François Mauriac NO-SE,0.00024372862253934234
counter_technical_id_Y2H21025335,0.0002393415275710164
hour_12,0.00023606566042215092
rr1_lag_3,0.0002306575458043942
hour_14,0.00022608259098021077
ww_60,0.00022339675720919636
ww_0,0.00022193801987562326
hour_13,0.0002133449712236128
counter_technical_id_Y2H20052705,0.00021218973028648097
counter_name_254 rue de Vaugirard SO-NE,0.00021139524047805237
counter_name_Pont de Bercy NE-SO,0.00021119892646879912
site_name_Voie Georges Pompidou,0.00020844818207287316
site_name_90 Rue De Sèvres,0.00020707662812045113
rr1_lag_2,0.0001876928522333715
counter_name_Face au 48 quai de la marne NE-SO,0.00017353551940208173
counter_name_28 boulevard Diderot O-E,0.00017327969024526557
rr1_lag_1,0.00017300144311689706
counter_name_Face au 25 quai de l'Oise SO-NE,0.0001702153596438322
counter_name_Totem 85 quai d'Austerlitz NO-SE,0.00016721259823730287
site_name_Pont de Bercy,0.0001656481911660202
counter_name_Face au 25 quai de l'Oise NE-SO,0.00016527478519920587
counter_name_Face au 40 quai D'Issy SO-NE,0.00016460130431665787
counter_technical_id_Y2H19070378,0.00016312003194759544
precipitation_lag_1,0.00016217736638108647
counter_technical_id_Y2H17021629,0.0001582185360101614
site_name_Totem Cours la Reine,0.00015776002360759492
precipitation_lag_2,0.0001574839079679252
counter_name_18 quai de l'Hôtel de Ville SE-NO,0.00015722088135341724
rr1,0.0001540669960273557
counter_name_Pont Charles De Gaulle NE-SO,0.00015095883984060735
counter_name_Pont de la Concorde S-N,0.00015002445898443153
counter_technical_id_YTH19111509,0.00014830921012314876
site_name_Face au 4 avenue de la porte de Bagnolet,0.00013639949785625833
counter_name_Face au 40 quai D'Issy NE-SO,0.0001362037851867493
site_name_39 quai François Mauriac,0.00013484968799996357
ww_21,0.00013403353382983947
site_name_36 quai de Grenelle,0.00012803976711118085
site_name_Pont de la Concorde S-N,0.0001260187573075385
counter_technical_id_Y2H19070356,0.00012597943575686548
counter_technical_id_Y2H19070376,0.0001237581223627907
etat_sol_0.6807339449541284,0.00012204139709093933
counter_technical_id_Y2H19070372,0.00011714283158454322
ww_61,0.00011695796292501616
counter_technical_id_Y2H20022165,0.00011118235607387986
site_name_Face au 8 avenue de la porte de Charenton,0.00010628060798197122
counter_technical_id_Y2H19070370,0.00010490747880525795
site_name_Face au 70 quai de Bercy,0.00010174605799307768
counter_technical_id_Y2H15027244,9.423839253085115e-05
site_name_28 boulevard Diderot,8.001431135863025e-05
ww_10,7.802644154167039e-05
etat_sol_16.0,7.734768805551833e-05
ww_25,7.684182726035022e-05
site_name_6 rue Julia Bartet,7.632294668128469e-05
ww_63,7.29552071746663e-05
counter_technical_id_Y2H18086323,7.086092403562346e-05
ww_58,6.934789416237028e-05
site_name_254 rue de Vaugirard,6.206280771886681e-05
counter_technical_id_Y2H20114504,5.8729692468411435e-05
ww_51,5.493961221491738e-05
ww_47,4.7854752503604276e-05
ww_80,4.223195957595713e-05
ww_50,3.802414321086782e-05
etat_sol_15.0,3.791394608401612e-05
cod_tend_4,3.571250628334798e-05
ww_11,3.0034706403436045e-05
etat_sol_4.0,2.751898580775095e-05
ww_22,1.6428679890922925e-05
etat_sol_11.0,1.592626402694772e-05
ww_27,1.2755157893945244e-05
ww_20,1.2223776284653876e-05
etat_sol_12.0,1.1803826605740928e-05
ww_16,1.1511808874793516e-05
etat_sol_13.0,9.922205635892363e-06
ww_62,8.573099384818238e-06
ww_15,6.854530171776078e-06
ww_71,5.394912623577964e-06
ww_26,5.245522803750291e-06
ww_44,5.005635550285164e-06
ww_41,4.474837864757084e-06
ww_28,2.6579206139296586e-06
ww_40,1.3123455437772593e-06
ww_68,1.2349710636271828e-06
ww_43,1.0076497385064466e-06
ww_29,8.204612405114686e-07
ww_73,8.154757029415442e-07
ww_92,8.138991856266816e-07
ww_95,7.896079196359354e-07
ww_13,6.259035552674385e-07
ww_66,5.821251804002207e-07
ww_17,5.073775602033078e-07
ww_82,1.5676694334435687e-07
ww_42,1.3463420364715695e-07
ww_46,1.2507164653895225e-07
ww_81,4.5376476775963695e-08
ww_45,2.4677273280486776e-08
